Constrant 1.0 Mu 1.0 sigma 1.0, ResponseTime with Delay of C*e^(mu+Z*sigma) of the simulation,
iteration 9,88,5058.259345
iteration 10,82,7991.9849
iteration 11,84,176.1935614
iteration 12,85,351.2390102
iteration 13,72,1379.929284
iteration 14,83,87.189011
iteration 15,86,731.7135424
iteration 16,74,75.20950731
iteration 17,74,76.5426604
iteration 18,79,241.6877301
iteration 19,79,86.06877137
iteration 20,83,181.7740109
iteration 21,79,82.39707569
iteration 22,75,22808.78335
iteration 23,69,2984.340178
iteration 24,85,2691.059055
iteration 25,80,74722.12592
iteration 26,88,3209.00614
iteration 27,83,217.2820615
iteration 28,72,96.55335942
iteration 29,72,864.3250957
iteration 30,99,3970.690652
iteration 31,76,1458.769928
iteration 32,75,10892.03771
iteration 33,70,156.8146672
iteration 34,74,2744.769113
iteration 35,72,576.1066014
iteration 36,79,732.6125357
iteration 37,70,6804.9401
iteration 38,166,2323.551287
iteration 39,105,975.2342389
iteration 40,101,156.9089384
iteration 41,94,254.5078577
iteration 42,108,154.3891553
iteration 43,88,655.7288751
iteration 44,118,512.3618121
iteration 45,89,649.9688815
iteration 46,92,37250.42847
iteration 47,101,1303.181488
iteration 48,93,2231.687878
iteration 49,87,132.2160112
Constrant 1.0 Mu 1.0 sigma 7.0, ResponseTime with Delay of C*e^(mu+Z*sigma) of the simulation,
iteration 0,81,653.3545113
iteration 1,89,23660.05142
iteration 2,89,705442.0855
iteration 3,216,661392.161
iteration 4,79,111214.7382
iteration 5,93,370.6104835
iteration 6,218,572.2664767
iteration 7,91,138861.4534
iteration 8,133,154.7882538
iteration 9,100,158.1106745
iteration 10,80,1608.473375
iteration 11,93,2948.791037
iteration 12,81,160.511754
iteration 13,78,16345.26074
iteration 14,74,86523.04427
iteration 15,87,104.1781153
iteration 16,73,24862.18197
iteration 17,79,171.4834998
iteration 18,84,1101999.671
iteration 19,79,6718.814985
iteration 20,75,30562.96665
iteration 21,78,1301.437177
iteration 22,76,89.07458602
iteration 23,82,21809.3988
iteration 24,76,620.8173687
iteration 25,78,465.2455098
iteration 26,75,6669.229067
iteration 27,80,317677.5401
iteration 28,71,3.96E+07
iteration 29,87,59056.42084
iteration 30,94,823.094223
iteration 31,81,16398.57772
iteration 32,73,364.5577132
iteration 33,75,1039315.382
iteration 34,73,94811.80902
iteration 35,76,471.9421992
iteration 36,70,8429.232658
iteration 37,160,580.2391582
iteration 38,105,191.9949273
iteration 39,97,68230.43289
iteration 40,91,91.41698826
iteration 41,100,371688.4497
iteration 42,104,1052.603181
iteration 43,96,9784983.035
