Constrant 1.0 Mu 1.0 sigma 1.0, ResponseTime with Delay of C*e^(mu+Z*sigma) of the simulation,
iteration 9,104,75775.75762
iteration 10,77,94358.49956
iteration 11,75,11115.21657
iteration 12,80,4463.406824
iteration 13,94,170.6005951
iteration 14,77,23580.57339
iteration 15,83,1133.241231
iteration 16,72,15780.9143
iteration 17,82,782.9415808
iteration 18,79,260951.0593
iteration 19,81,9418.405169
iteration 20,74,17627.68234
iteration 21,83,1024.795924
iteration 22,75,226.5438026
iteration 23,81,1180.405625
iteration 24,76,203.9881924
iteration 25,81,502121.862
iteration 26,77,11269.46824
iteration 27,82,206730.4183
iteration 28,75,2171229.508
iteration 29,152,193881.8385
iteration 30,103,7850044.596
iteration 31,93,7564.818022
iteration 32,96,4523.390268
iteration 33,91,83651.87442
iteration 34,89,297.4453726
iteration 35,85,7396.295559
iteration 36,86,351.316694
iteration 37,95,9735480.471
iteration 38,82,1301.597084
iteration 39,76,227399.6314
iteration 40,85,62756.21045
iteration 41,84,223808.6801
iteration 42,92,136924.8341
iteration 43,75,3281382.852
iteration 44,81,22616.11069
iteration 45,81,11590.18618
iteration 46,80,676505.2287
iteration 47,85,1200944.914
iteration 48,77,6096678.086
iteration 49,88,142.5044268
Constrant 1.0 Mu 5.0 sigma 7.0, ResponseTime with Delay of C*e^(mu+Z*sigma) of the simulation,
iteration 0,112,6.17E+07
iteration 1,95,40292.41873
iteration 2,91,3.69E+07
iteration 3,95,64657.53248
iteration 4,85,1596.874092
iteration 5,93,869727.8592
iteration 6,88,54758.08314
iteration 7,91,5078.187781
iteration 8,81,4846.086769
iteration 9,84,12402.55648
iteration 10,140,98759.84986
iteration 11,80,67945.25051
iteration 12,75,4.69E+07
iteration 13,81,1.61E+07
iteration 14,81,14955.45864
iteration 15,79,1.20E+08
iteration 16,92,7867.527511
iteration 17,183,5.86E+07
iteration 18,87,1375759.894
iteration 19,94,48933.01233
iteration 20,94,3073.511083
iteration 21,100,1786142.16
iteration 22,81,86985.66499
iteration 23,81,1.10E+09
iteration 24,79,3577.946885
iteration 25,71,448.8653326
iteration 26,82,54014.97539
iteration 27,72,132964.6554
iteration 28,77,128605.1497
iteration 29,87,3.71E+07
iteration 30,76,2.72E+08
iteration 31,82,24301.70648
iteration 32,79,2410247.764
iteration 33,80,851.9782806
iteration 34,78,9214.065799
iteration 35,83,1655434.893
iteration 36,69,738366.9752
iteration 37,70,5813018.725
iteration 38,78,6626.18122
iteration 39,77,108305.651
iteration 40,74,1080.185556
iteration 41,71,20196.36808
iteration 42,71,7139.463788
iteration 43,75,11321.44154
iteration 44,68,696650.5023
iteration 45,73,2132.435955
iteration 46,74,2613.323806
iteration 47,69,804.109088
iteration 48,72,6811466.353
iteration 49,75,17777.86395
Constrant 1.0 Mu 5.0 sigma 9.0, ResponseTime with Delay of C*e^(mu+Z*sigma) of the simulation,
iteration 0,80,2.36E+10
iteration 1,93,19351.34166
iteration 2,81,1.47E+12
iteration 3,78,1072.671699
iteration 4,74,6.16E+07
iteration 5,87,41940.85026
iteration 6,73,45079.59475
iteration 7,79,2.26E+08
iteration 8,84,3303457.264
iteration 9,79,3231.766416
iteration 10,75,104821.5367
iteration 11,78,2.16E+08
iteration 12,76,1089038.054
iteration 13,82,8692394.926
iteration 14,76,1.05E+14
iteration 15,78,8.07E+07
iteration 16,75,4409.722002
iteration 17,80,1086.336203
iteration 18,71,2186.39481
iteration 19,87,6.90E+08
iteration 20,94,95532.30863
iteration 21,81,19461.96543
iteration 22,73,399.6213108
iteration 23,75,1558.826545
iteration 24,73,2824.260538
iteration 25,76,1.57E+07
iteration 26,70,484180.0371
iteration 27,160,5223.146932
iteration 28,105,1.52E+08
iteration 29,97,1.03E+07
iteration 30,91,1686658.848
iteration 31,100,2.70E+08
iteration 32,104,1870991.345
iteration 33,96,466632.3147
iteration 34,95,2.92E+08
iteration 35,109,181.5607919
iteration 36,88,81258.53937
iteration 37,94,2.41E+09
iteration 38,87,3192962.141
iteration 39,86,366748.3836
iteration 40,88,929.9660441
iteration 41,91,1.65E+13
iteration 42,206,4821323.608
iteration 43,87,1.92E+11
iteration 44,89,5.12E+07
iteration 45,94,652717.3338
iteration 46,91,1460677.171
iteration 47,120,7.37E+07
iteration 48,84,2840992.824
iteration 49,83,2.52E+09
Constrant 1.0 Mu 7.0 sigma 1.0, ResponseTime with Delay of C*e^(mu+Z*sigma) of the simulation,
iteration 0,75,7482.082606
iteration 1,88,3916.986112
iteration 2,72,3799.046826
iteration 3,73,6875.32387
iteration 4,76,6670.564139
iteration 5,82,4908.351974
iteration 6,95,6110.561138
iteration 7,75,2814.179265
iteration 8,75,3130.32705
iteration 9,89,16422.06385
iteration 10,81,6656.058535
iteration 11,98,15672.11668
iteration 12,84,4827.983089
iteration 13,74,4688.147282
iteration 14,73,3963.468462
iteration 15,75,13016.10843
iteration 16,76,12016.81406
iteration 17,86,9265.414671
iteration 18,71,6667.605276
iteration 19,79,10811.20752
iteration 20,73,4195.210914
iteration 21,84,8785.403655
iteration 22,76,3922.478705
iteration 23,77,5678.44508
iteration 24,158,11796.76241
iteration 25,101,2265.166562
iteration 26,103,7600.386747
iteration 27,94,6215.865999
iteration 28,95,3944.208784
iteration 29,103,5104.321879
iteration 30,93,7846.14531
iteration 31,84,8942.041222
iteration 32,79,4331.304573
iteration 33,80,4873.524077
iteration 34,76,11024.82955
iteration 35,92,5454.248897
iteration 36,74,5690.258379
iteration 37,81,1618.085657
iteration 38,86,3543.301986
iteration 39,212,10833.42412
iteration 40,87,12605.89279
iteration 41,94,12406.98208
iteration 42,85,4495.54567
iteration 43,79,5591.127853
iteration 44,97,6397.937762
iteration 45,88,6476.532716
iteration 46,86,8932.133823
iteration 47,77,4131.910018
iteration 48,74,3338.455437
iteration 49,81,1460.66742
Constrant 1.0 Mu 7.0 sigma 2.0, ResponseTime with Delay of C*e^(mu+Z*sigma) of the simulation,
iteration 0,93,15432.72842
iteration 1,84,10946.48685
iteration 2,79,1453.563269
iteration 3,80,17729.62444
iteration 4,76,1568.502117
iteration 5,92,15573.85092
iteration 6,74,44381.28455
iteration 7,81,53438.37686
iteration 8,86,25605.99713
iteration 9,212,59893.43831
iteration 10,87,5325.580551
iteration 11,94,12683.39929
iteration 12,85,4736.462868
iteration 13,79,1604.324533
iteration 14,97,10020.755
iteration 15,88,22446.97211
iteration 16,86,27156.67543
iteration 17,77,6279.517425
iteration 18,74,2616.11394
iteration 19,81,20150.83788
iteration 20,74,15315.587
iteration 21,71,10745.41635
iteration 22,80,6086.234237
iteration 23,80,4292.218691
iteration 24,74,18228.54992
iteration 25,85,11644.84068
iteration 26,70,35646.78249
iteration 27,83,36819.70771
iteration 28,73,4422.98616
iteration 29,74,25300.21969
iteration 30,81,5987.047342
iteration 31,75,25164.49621
iteration 32,76,2602.65884
iteration 33,84,7774.596613
iteration 34,71,10696.8164
iteration 35,85,104857.1278
iteration 36,87,38335.59226
iteration 37,73,9610.193453
iteration 38,72,22077.04117
iteration 39,76,45049.71185
iteration 40,76,31796.11766
iteration 41,78,3272.258852
iteration 42,71,12223.09242
iteration 43,148,62089.25249
iteration 44,97,17249.40785
iteration 45,99,1837.441888
iteration 46,106,7200.542819
iteration 47,103,3958.982868
iteration 48,100,54439.59911
iteration 49,91,1357.873136
Constrant 1.0 Mu 7.0 sigma 3.0, ResponseTime with Delay of C*e^(mu+Z*sigma) of the simulation,
iteration 0,97,4097734.786
iteration 1,70,51142.7513
iteration 2,72,31959.91462
iteration 3,73,614210.5917
iteration 4,182,424788.6488
iteration 5,91,4101.062172
iteration 6,97,21832.93372
iteration 7,92,803.0475022
iteration 8,85,34522.69303
iteration 9,91,230100.3271
iteration 10,101,70377.77411
iteration 11,87,7847.823559
iteration 12,80,8337.311736
iteration 13,91,22936.46865
iteration 14,83,2406.861039
iteration 15,85,112904.2697
iteration 16,82,5507.16551
iteration 17,87,465941.7588
iteration 18,101,105168.2506
iteration 19,86,11180.63982
iteration 20,78,34332.90435
iteration 21,90,10227.52805
iteration 22,87,22120.06002
iteration 23,75,100404.8268
iteration 24,174,7464.290782
iteration 25,81,109250.1471
iteration 26,82,20962.11845
iteration 27,74,763131.6038
iteration 28,74,46357.2662
iteration 29,84,16060.9946
iteration 30,75,201371.0906
iteration 31,88,230239.0297
iteration 32,72,4642.774826
iteration 33,73,106569.5894
iteration 34,76,13126.27279
iteration 35,82,511468.5713
iteration 36,95,9360.894595
iteration 37,75,24431.26781
iteration 38,75,155693.0902
iteration 39,89,5140.789645
iteration 40,81,27323.45934
iteration 41,98,192827.1744
iteration 42,84,56603.10699
iteration 43,74,41966.14223
iteration 44,73,3757.003094
iteration 45,75,5137719.454
iteration 46,76,51565.74428
iteration 47,86,71746.42234
iteration 48,71,223209.4468
iteration 49,79,368118.7172
Constrant 1.0 Mu 7.0 sigma 4.0, ResponseTime with Delay of C*e^(mu+Z*sigma) of the simulation,
iteration 0,82,671542.3076
iteration 1,71,11836.34282
iteration 2,81,26520.50147
iteration 3,81,174488.9839
iteration 4,74,4657.624064
iteration 5,72,766963.6816
iteration 6,74,666371.2342
iteration 7,75,42547.12411
iteration 8,74,31580.29616
iteration 9,72,3027765.564
iteration 10,133,133448.9637
iteration 11,92,1687141.253
iteration 12,104,5932.519694
iteration 13,109,287439.3343
iteration 14,88,1952925.796
iteration 15,91,22808.32135
iteration 16,114,45605.17604
iteration 17,78,27145.59172
iteration 18,91,318734.0595
iteration 19,81,42088.41388
iteration 20,82,3135.665887
iteration 21,74,6625.605674
iteration 22,78,4676.135711
iteration 23,75,6418.295012
iteration 24,70,31837.24321
iteration 25,88,28794.25912
iteration 26,83,277651.3719
iteration 27,87,91171.5467
iteration 28,76,3099917.558
iteration 29,76,2610727.661
iteration 30,85,54606.8979
iteration 31,75,31167.90676
iteration 32,95,46621.27754
iteration 33,72,1272005.722
iteration 34,70,29833.73094
iteration 35,73,344697.635
iteration 36,68,1023659.163
iteration 37,78,769704.4294
iteration 38,67,621.6975336
iteration 39,82,142551.0732
iteration 40,69,225550.4575
iteration 41,74,660625.04
iteration 42,67,495153.1781
iteration 43,87,11775.92175
iteration 44,69,2163534.538
iteration 45,69,126568.0439
iteration 46,67,1.28E+07
iteration 47,72,6078607.378
iteration 48,70,8294.385068
iteration 49,71,75226.86426
Constrant 1.0 Mu 7.0 sigma 5.0, ResponseTime with Delay of C*e^(mu+Z*sigma) of the simulation,
iteration 0,81,336215.957
iteration 1,71,3414.784703
iteration 2,77,1045.134256
iteration 3,73,40106.5617
iteration 4,73,2450728.561
iteration 5,75,476960.1775
iteration 6,73,691422.6184
iteration 7,174,6.34E+07
iteration 8,122,454508.9684
iteration 9,90,584286.1101
iteration 10,113,60668.68347
iteration 11,86,1442.187162
iteration 12,83,2953067.547
iteration 13,90,72808.63077
iteration 14,89,42195.2915
iteration 15,97,1.02E+08
iteration 16,94,52501.29947
iteration 17,78,302370.155
iteration 18,80,1364.596241
iteration 19,79,22478.06881
iteration 20,79,7948.12655
iteration 21,80,2715.194074
iteration 22,101,1332183.917
iteration 23,93,471760.1064
iteration 24,87,81306.48649
iteration 25,76,3352.22011
iteration 26,75,13247.08445
iteration 27,97,1.32E+07
iteration 28,176,1.49E+07
iteration 29,79,592989.6889
iteration 30,90,891.7616462
iteration 31,74,6.79E+07
iteration 32,76,2.63E+07
iteration 33,74,13789.82742
iteration 34,77,35863.62282
iteration 35,69,19983.53172
iteration 36,77,17584.05449
iteration 37,75,428.2592308
iteration 38,81,228753.0505
iteration 39,71,3.41E+08
iteration 40,82,397446.0733
iteration 41,70,20865.67534
iteration 42,77,153175.315
iteration 43,76,175529.6502
iteration 44,73,219766.855
iteration 45,80,919945.3679
iteration 46,72,720223.0691
iteration 47,72,2574372.01
iteration 48,81,1615918.981
iteration 49,83,2456460.634
Constrant 1.0 Mu 7.0 sigma 7.0, ResponseTime with Delay of C*e^(mu+Z*sigma) of the simulation,
iteration 0,79,1.50E+08
iteration 1,92,785363.1991
iteration 2,183,5397.327074
iteration 3,87,236983.8059
iteration 4,94,4.13E+07
iteration 5,94,1254571.892
iteration 6,100,75777.82604
iteration 7,81,239.9445645
iteration 8,81,22425.98618
iteration 9,79,3.86E+09
iteration 10,71,316597.6605
iteration 11,82,9.57E+08
iteration 12,72,22683.2585
iteration 13,77,26336.75963
iteration 14,87,8.22E+07
iteration 15,76,512326.5816
iteration 16,82,464274.2293
iteration 17,79,1262402.583
iteration 18,80,3.05E+07
iteration 19,78,61094.44564
iteration 20,83,772.1826858
iteration 21,69,2731.603214
iteration 22,70,4911.035071
iteration 23,78,2008661.515
iteration 24,77,3.35E+08
iteration 25,74,2195341.681
iteration 26,71,69224.74342
iteration 27,71,8236244.716
iteration 28,75,5021.186493
iteration 29,68,3.92E+07
iteration 30,73,3864759.332
iteration 31,74,2254.271638
iteration 32,69,1.18E+08
iteration 33,72,22282.95445
iteration 34,75,442653.3011
iteration 35,153,1.29E+09
iteration 36,98,1.49E+09
iteration 37,98,1234.693493
iteration 38,97,52609.48272
iteration 39,103,4565317.663
iteration 40,89,3.57E+07
iteration 41,90,78376.66213
iteration 42,87,15482.56684
iteration 43,93,3259113.818
iteration 44,84,538779.003
iteration 45,80,31179.41327
iteration 46,126,2.39E+08
iteration 47,82,1.50E+07
iteration 48,80,10788.95695
iteration 49,80,1.18E+09
Constrant 1.0 Mu 7.0 sigma 9.0, ResponseTime with Delay of C*e^(mu+Z*sigma) of the simulation,
iteration 0,78,8.56E+07
iteration 1,75,1.97E+07
iteration 2,80,6.95E+10
iteration 3,71,5.09E+07
iteration 4,87,3.38E+07
iteration 5,94,8.51E+07
iteration 6,81,6363307.774
iteration 7,73,4153906.948
iteration 8,75,2.86E+08
iteration 9,73,1256173.677
iteration 10,76,3.63E+08
iteration 11,70,418003.9626
iteration 12,160,328126.2498
iteration 13,105,9.51E+07
iteration 14,97,2.33E+07
iteration 15,91,1987936.188
iteration 16,100,672247.437
iteration 17,104,107.1852978
iteration 18,96,2169010.03
iteration 19,95,1.28E+07
iteration 20,109,339.9211156
iteration 21,88,1585.194959
iteration 22,94,3043.548005
iteration 23,87,2.16E+07
iteration 24,86,4558.578206
iteration 25,88,2039606.981
iteration 26,91,4683.293856
iteration 27,206,6.22E+11
iteration 28,87,5.33E+08
iteration 29,89,3428.986295
iteration 30,94,7.94E+07
iteration 31,91,1.48E+11
iteration 32,120,132.3530958
iteration 33,84,5.16E+09
iteration 34,83,9.90E+09
iteration 35,86,1.69E+10
iteration 36,73,2.22E+07
iteration 37,78,2.25E+07
iteration 38,75,1.08E+12
iteration 39,78,7560.911005
iteration 40,77,3.52E+07
iteration 41,79,2.06E+08
iteration 42,76,1.32E+09
iteration 43,87,2.46E+07
iteration 44,88,785280.9206
iteration 45,81,1.10E+09
iteration 46,73,4.65E+07
iteration 47,91,9.29E+07
iteration 48,77,135969.7394
iteration 49,89,8.99E+09
Constrant 1.0 Mu 9.0 sigma 1.0, ResponseTime with Delay of C*e^(mu+Z*sigma) of the simulation,
iteration 0,95,70494.71426
iteration 1,84,54311.71824
iteration 2,84,112499.0327
iteration 3,87,36019.93076
iteration 4,80,42386.47224
iteration 5,90,44251.98879
iteration 6,86,66440.41579
iteration 7,78,68615.82057
iteration 8,82,44171.83518
iteration 9,81,86809.74868
iteration 10,84,70529.04605
iteration 11,90,54112.64484
iteration 12,83,96396.91327
iteration 13,80,53762.85972
iteration 14,88,13421.68654
iteration 15,107,34628.18932
iteration 16,89,76576.12887
iteration 17,76,41193.4603
iteration 18,78,39153.32053
iteration 19,70,33347.69994
iteration 20,75,42991.67097
iteration 21,85,77683.71247
iteration 22,76,31982.63912
iteration 23,76,116766.3347
iteration 24,147,76418.07478
iteration 25,108,20430.59088
iteration 26,105,41640.53163
iteration 27,100,20808.82929
iteration 28,94,80802.57523
iteration 29,96,136513.7624
iteration 30,82,63521.88804
iteration 31,85,108955.4971
iteration 32,96,75824.78088
iteration 33,87,36929.63703
iteration 34,94,40901.76694
iteration 35,88,64931.8684
iteration 36,93,37044.2746
iteration 37,93,39200.26392
iteration 38,98,54556.83931
iteration 39,86,67831.88453
iteration 40,95,30162.84184
iteration 41,85,114231.6871
iteration 42,92,41589.88981
iteration 43,92,45469.48504
iteration 44,83,75314.73757
iteration 45,98,57291.86017
iteration 46,81,31475.39322
iteration 47,79,61674.44184
iteration 48,78,41763.97638
iteration 49,84,92573.26938
Constrant 1.0 Mu 9.0 sigma 2.0, ResponseTime with Delay of C*e^(mu+Z*sigma) of the simulation,
iteration 0,89,175228.3263
iteration 1,92,91404.00546
iteration 2,101,377503.8894
iteration 3,93,899518.8893
iteration 4,87,67664.83461
iteration 5,81,18837.4518
iteration 6,89,33264.02814
iteration 7,89,470873.0375
iteration 8,216,950042.1412
iteration 9,79,454992.2335
iteration 10,93,35469.19251
iteration 11,218,25991.74432
iteration 12,91,205724.4662
iteration 13,133,480631.2829
iteration 14,100,49678.38849
iteration 15,80,26025.44886
iteration 16,93,45253.8727
iteration 17,81,35456.76984
iteration 18,78,21350.21235
iteration 19,74,57922.20665
iteration 20,87,59432.62957
iteration 21,73,15723.4688
iteration 22,79,69818.39287
iteration 23,84,2377083.182
iteration 24,79,27738.14407
iteration 25,75,25474.85151
iteration 26,78,24993.24814
iteration 27,76,49754.80337
iteration 28,82,2070081.737
iteration 29,76,91294.51573
iteration 30,78,213595.8377
iteration 31,75,46874.56103
iteration 32,80,60029.72105
iteration 33,71,41094.06503
iteration 34,87,12928.26552
iteration 35,94,3624596.589
iteration 36,81,948282.2105
iteration 37,73,233284.8176
iteration 38,75,212416.5838
iteration 39,73,499309.2175
iteration 40,76,351268.6798
iteration 41,70,158589.8558
iteration 42,160,71495.11619
iteration 43,105,8416.084678
iteration 44,97,76099.08172
iteration 45,91,159328.2169
iteration 46,100,316247.8866
iteration 47,104,17539.06395
iteration 48,96,56143.08244
iteration 49,95,128449.9477
Constrant 1.0 Mu 9.0 sigma 3.0, ResponseTime with Delay of C*e^(mu+Z*sigma) of the simulation,
iteration 0,86,91906.83917
iteration 1,82,15204.90977
iteration 2,84,3272038.188
iteration 3,81,492213.7791
iteration 4,92,54911.5962
iteration 5,94,255434.1467
iteration 6,105,1317637.805
iteration 7,78,1481678.749
iteration 8,80,9282.45761
iteration 9,89,27089.50904
iteration 10,82,306654.7923
iteration 11,79,4851043.445
iteration 12,86,319592.2739
iteration 13,88,3876241.678
iteration 14,76,40252.22576
iteration 15,129,132596.9353
iteration 16,101,71356.20394
iteration 17,93,26810.77399
iteration 18,93,148540.9282
iteration 19,109,34515.00179
iteration 20,98,3.43E+07
iteration 21,97,38037.93733
iteration 22,81,6802712.311
iteration 23,90,696718.9124
iteration 24,83,5252.352422
iteration 25,78,312084.4372
iteration 26,82,63464.83798
iteration 27,76,3.90E+07
iteration 28,80,5340.340406
iteration 29,84,220005.0128
iteration 30,207,17521.91107
iteration 31,83,306892.8578
iteration 32,85,165542.1826
iteration 33,75,22250.0546
iteration 34,79,242437.4432
iteration 35,94,2066919.584
iteration 36,90,46989.72934
iteration 37,76,9121229.326
iteration 38,82,2055915.571
iteration 39,70,67315.4621
iteration 40,82,218249.8466
iteration 41,83,1121447.032
iteration 42,97,68944.48317
iteration 43,92,31822.63579
iteration 44,104,64711.70817
iteration 45,77,34707.82665
iteration 46,75,814294.7052
iteration 47,80,1156121.339
iteration 48,94,50710.1417
iteration 49,77,589814.8972
Constrant 1.0 Mu 9.0 sigma 4.0, ResponseTime with Delay of C*e^(mu+Z*sigma) of the simulation,
iteration 0,72,224696.7468
iteration 1,71,519991.1675
iteration 2,70,45831.60571
iteration 3,74,83940.16808
iteration 4,71,326337.9192
iteration 5,97,4.89E+07
iteration 6,70,35725.28198
iteration 7,72,895357.5611
iteration 8,73,672095.9096
iteration 9,182,267169.0724
iteration 10,91,91262.99973
iteration 11,97,7294139.253
iteration 12,92,2517761.776
iteration 13,85,903496.2721
iteration 14,91,23754.67494
iteration 15,101,1801666.642
iteration 16,87,301534.9394
iteration 17,80,290979.6249
iteration 18,91,65321.34875
iteration 19,83,1663076.671
iteration 20,85,2.11E+07
iteration 21,82,13348.62222
iteration 22,87,16273.46062
iteration 23,101,1357090.976
iteration 24,86,86430.99202
iteration 25,78,458925.1552
iteration 26,90,9450.635569
iteration 27,87,8168477.527
iteration 28,75,7025.183699
iteration 29,174,904264.4602
iteration 30,81,196842.8385
iteration 31,82,8254.094829
iteration 32,74,338118.9761
iteration 33,74,505579.5467
iteration 34,84,1678144.408
iteration 35,75,680083.9435
iteration 36,88,8424525.414
iteration 37,72,1234145.835
iteration 38,73,3.33E+08
iteration 39,76,4357.750211
iteration 40,82,5204622.92
iteration 41,95,635259.9975
iteration 42,75,1.60E+09
iteration 43,75,29146.39674
iteration 44,89,1651860.346
iteration 45,81,327900.0833
iteration 46,98,8635683.437
iteration 47,84,4.37E+08
iteration 48,74,581114.9502
iteration 49,73,1024746.714
Constrant 1.0 Mu 9.0 sigma 5.0, ResponseTime with Delay of C*e^(mu+Z*sigma) of the simulation,
iteration 0,85,225730.0269
iteration 1,87,1784458.152
iteration 2,73,6672617.956
iteration 3,72,1.93E+08
iteration 4,76,2540319.394
iteration 5,76,185693.3964
iteration 6,78,94635.0291
iteration 7,71,8.96E+07
iteration 8,148,1266490.21
iteration 9,97,1458195.833
iteration 10,99,3248909.487
iteration 11,106,3672.848642
iteration 12,103,2120100.086
iteration 13,100,282311.4481
iteration 14,91,275896.8643
iteration 15,88,78536.36805
iteration 16,80,154017.7
iteration 17,87,414355.1783
iteration 18,90,1.27E+08
iteration 19,91,55851.05205
iteration 20,89,6198.364414
iteration 21,94,4.06E+07
iteration 22,95,3.05E+07
iteration 23,79,1277348.194
iteration 24,77,61189.44225
iteration 25,91,8902.473265
iteration 26,76,1346609.58
iteration 27,187,33844.87856
iteration 28,128,30714.28107
iteration 29,96,933.6095326
iteration 30,89,7732493.61
iteration 31,81,1.02E+07
iteration 32,75,8.88E+08
iteration 33,79,21229.40383
iteration 34,69,6485182.006
iteration 35,79,2.47E+08
iteration 36,73,6.30E+07
iteration 37,77,155455.0724
iteration 38,75,4504.294495
iteration 39,78,268818.5521
iteration 40,74,3416494.04
iteration 41,77,358344.1308
iteration 42,70,369580.1833
iteration 43,88,3.24E+07
iteration 44,84,3484627.501
iteration 45,79,3688476.396
iteration 46,69,181418.1886
iteration 47,80,5590.420026
iteration 48,78,1.46E+09
iteration 49,80,162702.0364
Constrant 1.0 Mu 9.0 sigma 7.0, ResponseTime with Delay of C*e^(mu+Z*sigma) of the simulation,
iteration 0,73,8.06E+07
iteration 1,68,1629886.905
iteration 2,71,1.01E+09
iteration 3,73,1.51E+08
iteration 4,411,255753.7644
iteration 5,115,61347.33365
iteration 6,98,4.79E+09
iteration 7,93,2.38E+09
iteration 8,98,7.95E+07
iteration 9,102,1.76E+07
iteration 10,107,8.42E+07
iteration 11,92,38773.71006
iteration 12,84,468515.0738
iteration 13,100,3.62E+07
iteration 14,84,2989967.653
iteration 15,104,6.68E+09
iteration 16,80,161081.6322
iteration 17,100,269551.2239
iteration 18,83,258948.7647
iteration 19,95,132997.3184
iteration 20,87,2.64E+07
iteration 21,91,58795.51385
iteration 22,78,132923.1394
iteration 23,86,64457.07582
iteration 24,109,1.86E+09
iteration 25,92,1.34E+08
iteration 26,86,5.72E+09
iteration 27,90,805732.4501
iteration 28,75,3.27E+08
iteration 29,90,791412.8553
iteration 30,84,216948.7559
iteration 31,93,151596.0784
iteration 32,80,5.68E+07
iteration 33,77,133738.6919
iteration 34,84,579.9437162
iteration 35,79,2842242.42
iteration 36,92,1.22E+08
iteration 37,92,3.25E+08
iteration 38,72,1647375.678
iteration 39,77,2.59E+08
iteration 40,87,33806.75967
iteration 41,98,1.46E+07
iteration 42,94,1131895.239
iteration 43,90,1.87E+07
iteration 44,80,2.14E+08
iteration 45,90,87886.71058
iteration 46,86,1.30E+08
iteration 47,79,2.34E+08
iteration 48,78,3.45E+07
iteration 49,92,6.59E+11
Constrant 1.0 Mu 9.0 sigma 9.0, ResponseTime with Delay of C*e^(mu+Z*sigma) of the simulation,
iteration 0,79,1.42E+11
iteration 1,87,1.64E+07
iteration 2,97,951372.3761
iteration 3,94,435493.5707
iteration 4,83,2.30E+10
iteration 5,83,741855.8392
iteration 6,97,1.40E+13
iteration 7,93,3.91E+10
iteration 8,79,7.28E+08
iteration 9,88,6.20E+09
iteration 10,74,1.21E+08
iteration 11,77,4.84E+10
iteration 12,89,5.61E+07
iteration 13,75,4.47E+07
iteration 14,82,4.40E+10
iteration 15,77,1.97E+07
iteration 16,91,3.91E+07
iteration 17,95,1.40E+12
iteration 18,86,3845236.575
iteration 19,76,5.88E+07
iteration 20,88,1.29E+10
iteration 21,85,6.32E+07
iteration 22,75,2.48E+10
iteration 23,81,174352.9942
iteration 24,78,1283203.93
iteration 25,80,10084.41068
iteration 26,72,1.68E+11
iteration 27,92,2.10E+09
iteration 28,85,7278766.852
iteration 29,79,4.20E+08
iteration 30,75,2.42E+11
iteration 31,76,1.89E+07
iteration 32,70,1.84E+07
iteration 33,72,177577.3415
iteration 34,71,2.00E+12
iteration 35,117,9.35E+09
iteration 36,98,1.31E+11
iteration 37,97,2.27E+07
iteration 38,94,1341.949953
iteration 39,99,4.68E+09
iteration 40,101,3.19E+09
iteration 41,89,1.32E+09
iteration 42,90,8.04E+07
iteration 43,101,1.69E+11
iteration 44,100,4.40E+09
iteration 45,88,9.81E+12
iteration 46,86,7.88E+07
iteration 47,80,9.17E+09
iteration 48,89,4816678.589
iteration 49,80,2528766.078
